,median,lower,upper,error_minus,error_plus
H0,69.6223025934664,50.5575894469166,87.6257963343048,19.0647131465498,18.003493740838394
Omega_b_h2,0.02237362851835271,0.021832455757135983,0.022939856214929298,0.000541172761216728,0.0005662276965765871
Omega_c_h2,0.5067154769871342,0.30066988881612966,0.7067262962806924,0.2060455881710045,0.20001081929355824
n_s,1.106760992140929,0.9726455734889243,1.1769189707118888,0.1341154186520046,0.07015797857095984
A_s,2.561759716851891e-09,1.1523659640549155e-09,4.179599852730306e-09,1.4093937527969754e-09,1.6178401358784155e-09
tau,0.0793697459254569,0.07171743956724894,0.08701236817143138,0.007652306358207961,0.007642622245974479
