,median,lower,upper,error_minus,error_plus
H0,69.56156666880612,50.82393282683519,88.71804437517503,18.737633841970933,19.156477706368904
Omega_b_h2,0.02237362851835271,0.02181971372490087,0.022966175973200255,0.0005539147934518415,0.0005925474548475439
Omega_c_h2,0.5135018659093495,0.33067298119277544,0.7075276108344294,0.1828288847165741,0.19402574492507985
n_s,1.105519947359923,0.9556236604230615,1.1779901387027405,0.14989628693686163,0.0724701913428174
A_s,2.5240783751626867e-09,1.1212328818782824e-09,4.179081763577288e-09,1.4028454932844043e-09,1.6550033884146014e-09
tau,0.07917392319123114,0.07147983003078773,0.08686769091354928,0.007694093160443408,0.00769376772231814
