,median,lower,upper,error_minus,error_plus
H0,66.10854808035967,48.43185068292784,88.5223684444026,17.67669739743183,22.413820364042934
Omega_b_h2,0.02239669135481869,0.021893870071530746,0.022898871259393303,0.0005028212832879457,0.0005021799045746116
Omega_c_h2,0.3623813954639907,0.09273893678119807,0.7024893474525123,0.2696424586827926,0.3401079519885217
n_s,1.0011614525971937,0.8571016531466389,1.142226340251201,0.1440597994505548,0.14106488765400726
A_s,2.645347008515599e-09,1.207969602930058e-09,4.1903103283615874e-09,1.437377405585541e-09,1.5449633198459884e-09
tau,0.05037267109978073,0.04327989916069383,0.05751378526780194,0.007092771939086903,0.007141114168021205
